chord,span,airfoil mass,total mass,X_theta,Ia,dhh,dah,daa,Vcr
3.21260092e-01,6.90075141e-01,1.43123761e+00,2.38205612e+00,6.52430708e-01,1.51240365e-02,7.14621967e+00,9.23222047e+00,4.34663525e+01,19.4000000000000
3.15275507e-01,6.83179734e-01,1.85763199e+00,2.28675153e+00,6.43709561e-01,1.29342641e-02,7.31413868e+00,1.21161292e+01,4.08979758e+01,0
4.21468847e-01,2.75017294e-01,1.72453180e+00,2.45095766e+00,6.30698262e-01,1.12370163e-02,6.42783846e+00,8.69243867e+00,3.02480226e+01,0
4.11653140e-01,7.67185521e-01,1.22130176e+00,3.71653212e+00,6.86474153e-01,1.48733214e-02,7.34082722e+00,8.32737556e+00,3.68361153e+01,19.4000000000000
3.80862841e-01,2.48329259e-01,1.65556381e+00,2.68816238e+00,7.03437960e-01,1.05817948e-02,5.26992331e+00,5.17961384e+00,3.42197652e+01,0
3.30999669e-01,6.68318052e-01,1.53933413e+00,4.18285924e+00,7.28056379e-01,9.60677290e-03,6.92473118e+00,6.83457654e+00,4.03361738e+01,19.2000000000000
2.38715038e-01,5.60991433e-01,1.83748686e+00,3.10594091e+00,5.79257434e-01,1.53077799e-02,7.39682411e+00,9.54700113e+00,4.29230116e+01,19.1000000000000
4.47289852e-01,4.05360615e-01,1.49199234e+00,4.07507135e+00,7.30996820e-01,1.13432310e-02,6.68396034e+00,1.15071254e+01,3.57511707e+01,0
3.31789529e-01,5.45953474e-01,1.99848425e+00,4.00269054e+00,7.59608200e-01,1.34098281e-02,7.31035969e+00,1.33743757e+01,4.12717821e+01,0
4.26153676e-01,5.15742056e-01,1.39816008e+00,4.61862448e+00,7.12338283e-01,1.40509707e-02,6.73619459e+00,9.87521820e+00,3.63234809e+01,19.2000000000000
2.82886401e-01,4.25775421e-01,1.35995026e+00,2.90741032e+00,6.21148398e-01,1.38747083e-02,7.55028414e+00,6.31275765e+00,4.29915465e+01,19.3000000000000
4.41072492e-01,5.26522836e-01,1.85673617e+00,4.68876749e+00,5.92904321e-01,1.19378553e-02,6.71111744e+00,9.20246999e+00,2.65793036e+01,0
4.08687989e-01,6.45494757e-01,1.17785379e+00,5.11388357e+00,5.65028232e-01,1.12619553e-02,6.15614917e+00,1.44038099e+01,4.18697949e+01,0
4.25137401e-01,4.36787275e-01,1.79867308e+00,5.15031219e+00,6.34450358e-01,1.59137101e-02,6.38820491e+00,1.27360689e+01,3.53747660e+01,19.5000000000000
3.87925430e-01,2.72376163e-01,1.55460764e+00,3.70769298e+00,7.15003880e-01,1.05813002e-02,5.29732707e+00,1.30603008e+01,4.49324966e+01,0
4.05263810e-01,7.68943719e-01,1.96806970e+00,2.85550735e+00,7.38639587e-01,1.03482554e-02,7.10547735e+00,9.87276887e+00,2.98950394e+01,0
4.00712383e-01,4.80022890e-01,1.75517342e+00,4.87594861e+00,7.00731957e-01,9.14214554e-03,3.66488309e+00,6.10681301e+00,3.54203131e+01,0
3.66152876e-01,5.70678173e-01,1.31589985e+00,3.67949250e+00,7.27945777e-01,9.81277090e-03,5.64700372e+00,6.74705651e+00,4.36202556e+01,19.4000000000000
4.47379886e-01,2.24943675e-01,1.13400172e+00,3.03412441e+00,6.55509829e-01,1.04294601e-02,7.06160533e+00,1.28356600e+01,3.87899696e+01,19.6000000000000
3.70801151e-01,3.29665973e-01,1.54298165e+00,2.21017311e+00,7.19835753e-01,1.52676317e-02,7.49313400e+00,9.14636506e+00,3.75683422e+01,0
