chord,span,airfoil mass,total mass,X_theta,Ia,dhh,dah,daa,Vcr
0.089016,0.3671,1.5469,5.0458,0.75298,0.010103,7.843,14.602,32.114,12.5
0.37011,0.28513,1.4218,4.9205,0.71844,0.015716,6.2687,5.3871,41.208,19.9
0.4236,0.60724,1.7577,4.4027,0.63845,0.013588,3.8459,12.09,20.776,13.1
0.16077,0.2277,1.0971,4.6437,0.69897,0.01122,7.7411,5.3745,30.949,12.9
0.20262,0.65931,1.7952,2.7339,0.65795,0.012119,6.2216,12.124,38.847,15.3
0.16041,0.60782,1.6551,2.6611,0.5838,0.012489,7.7887,8.4339,34.612,15.3
0.13952,0.65076,1.2551,3.6912,0.69982,0.015236,7.7865,10.502,23.446,11.9
0.10972,0.3545,1.8407,2.9361,0.72286,0.010705,7.6363,8.5298,24.895,13.7
0.15043,0.56963,1.4733,3.2283,0.72617,0.013097,5.7386,14.202,27.126,11.5
0.35288,0.65224,1.3804,3.8768,0.57517,0.0093777,5.644,12.822,43.33,19.6
0.10196,0.54129,1.4694,2.209,0.62742,0.010135,6.9614,8.1422,33.193,13.1
0.11626,0.56119,1.263,4.1355,0.69784,0.014237,5.2427,5.8682,25.704,11.9
0.41533,0.29143,1.8258,3.7883,0.75923,0.0095472,5.2034,6.0965,44.027,0
0.051854,0.66495,1.8173,4.7794,0.57689,0.011798,4.2894,13.031,30.765,0
0.41426,0.30911,1.2638,2.6099,0.58721,0.015085,5.8885,10.529,23.604,14.4
0.39121,0.57323,1.351,3.713,0.64036,0.0095318,4.1896,6.2632,24.578,15.2
0.14598,0.45036,1.0497,4.8814,0.74896,0.012436,5.4363,8.4072,42.481,12.4
0.1977,0.26672,1.7803,3.3425,0.60834,0.011827,3.4723,6.3497,43.531,15.8
0.43245,0.54513,1.0598,2.8776,0.63063,0.014748,3.067,5.4602,24.205,14.4
0.30965,0.63903,1.6477,3.5261,0.6694,0.011074,6.7135,6.9196,37.149,18.7
0.1234,0.42109,1.6256,4.514,0.57623,0.015506,6.8686,9.8979,30.876,13.5
0.22871,0.38381,1.5085,3.7056,0.72353,0.014564,6.2116,8.8161,40.27,15.9
0.26313,0.41044,1.939,4.8011,0.67003,0.013357,5.9252,7.1074,27.511,16.1
0.23837,0.33829,1.8443,2.7576,0.60518,0.010195,4.1283,9.387,27.758,14
0.41935,0.45812,1.1848,4.8879,0.75595,0.012072,3.5456,7.6106,30.198,15.3
0.28796,0.35733,1.6028,4.3069,0.60435,0.0098219,4.4734,8.2178,30.584,15.3
0.25314,0.25131,1.2625,4.5763,0.56584,0.015502,6.6417,9.9161,34.443,15.3
0.14491,0.47531,1.9631,3.8137,0.66423,0.010621,5.4345,11.271,36.958,14.2
0.20821,0.42046,1.988,2.2865,0.73703,0.015393,6.9709,6.0171,26.527,15.8
0.18414,0.60784,1.1366,4.337,0.58135,0.013576,5.4609,12.821,37.856,12.2
0.41149,0.73455,1.3342,4.2695,0.59956,0.0092138,6.7104,10.03,31.978,18.6
0.41189,0.56592,1.6177,4.7516,0.7211,0.013037,3.9046,7.4293,42.143,0
0.06147,0.49394,1.1679,5.1093,0.70254,0.012503,5.3454,5.6262,37.029,13.9
0.066972,0.24287,1.5216,2.4635,0.72363,0.014723,6.6022,6.5287,36.47,14.4
0.25744,0.78378,1.649,4.5743,0.65076,0.012027,7.1166,5.8647,23.309,15.1
0.11936,0.43456,1.8314,4.5834,0.57209,0.011795,5.6244,9.198,36.401,14
0.30119,0.37519,1.4317,2.2198,0.75681,0.01017,3.5211,8.7541,24.933,0
0.24588,0.4037,1.9516,4.9343,0.57054,0.014165,4.3356,9.2584,33.677,15.8
0.42709,0.45065,1.9831,3.0777,0.70022,0.013664,5.6856,12.011,36.643,0
0.12125,0.27681,1.9991,2.6867,0.56652,0.012928,7.3993,11.722,24.741,13.2
0.19757,0.47644,1.9816,2.6425,0.7311,0.013513,4.8714,6.9392,30.686,15.1
0.24281,0.27237,1.5895,2.8519,0.63692,0.013081,4.249,7.9344,35.407,15.1
0.15611,0.69463,1.9827,4.364,0.62878,0.013088,3.5288,14.093,41.971,12.7
0.3771,0.35644,1.5944,2.2408,0.64505,0.011189,3.7974,6.8177,30.552,0
0.087692,0.55911,1.4709,4.2611,0.69998,0.01347,3.158,5.7181,27.97,11.9
0.26235,0.59267,1.4076,4.6332,0.70367,0.015781,5.6467,8.2815,22.621,13.3
0.29438,0.66728,1.4235,2.4458,0.61329,0.010076,4.395,9.4309,33.159,14.9
0.23297,0.72522,1.5181,5.0042,0.68754,0.015704,4.1935,11.791,27.207,12.3
0.31872,0.61708,1.068,2.9377,0.60481,0.013675,7.212,8.4746,39.493,17.9
0.32013,0.20403,1.6022,3.3336,0.7432,0.0090081,5.3022,9.2735,31.503,0
0.35806,0.39348,1.7847,3.5874,0.56715,0.010231,6.5988,9.7649,23.798,16.1
0.18645,0.56443,1.1917,4.3886,0.60857,0.015422,4.3353,12.685,24.697,10.1
0.165,0.25467,1.5762,4.2234,0.66932,0.01198,6.2122,11.506,36.955,13.8
0.30431,0.7671,1.2089,4.3011,0.60725,0.0098358,6.0265,9.5314,31.448,15.1
0.31478,0.66217,1.3502,4.1593,0.64323,0.014894,7.1546,7.5944,35.317,17.6
0.2829,0.52444,1.8699,2.9676,0.62361,0.0098345,7.6891,11.486,31.967,16.9
0.30573,0.52683,1.6473,3.805,0.70421,0.012657,7.9585,7.2168,22.625,15.7
0.093879,0.23815,1.4046,3.5184,0.63316,0.014345,6.1295,12.75,43.301,12.9
0.4391,0.31522,1.1389,4.2621,0.57876,0.012678,5.6417,13.641,32.101,15.7
0.20738,0.60286,1.7413,3.7335,0.62954,0.01005,5.9205,7.6515,21.091,13.4
0.35197,0.34567,1.4424,4.2367,0.63185,0.014154,4.9635,11.864,37.581,16.7
0.22692,0.21175,1.3309,3.4462,0.61405,0.010379,7.0986,9.3292,42.174,16.6
0.20647,0.66147,1.3968,4.5988,0.71102,0.011642,4.0701,12.934,43.713,13.4
0.18103,0.60276,1.4386,4.6738,0.71377,0.010171,7.2999,14.929,32.841,12.6
0.40371,0.55282,1.1548,2.7729,0.64139,0.014241,7.1179,12.93,27.943,14.6
0.26363,0.25397,1.1117,2.5822,0.69573,0.012466,3.9386,9.9801,23.67,11.4
0.07199,0.71043,1.5606,4.9621,0.69933,0.01308,7.067,13.82,44.703,13.9
0.050209,0.71926,1.6126,5.1432,0.66554,0.012357,6.9967,7.3084,32.432,0
