chord,span,airfoil mass,total mass,X_theta,Ia,dhh,dah,daa,Vcr
0.13054,0.31119,1.7253,4.1544,0.73066,0.011592,6.4578,5.7088,32.544,14.3
0.28029,0.65825,1.5387,4.8683,0.69077,0.0096982,3.4328,9.2716,34.608,14.6
0.25961,0.28499,1.5428,4.6652,0.60353,0.0090212,7.5662,10.514,26.076,14.5
0.23961,0.55985,1.701,3.8895,0.7305,0.011984,4.1312,7.3588,30.387,14.5
0.24302,0.77952,1.7504,5.1671,0.66231,0.010401,5.2727,10.342,28.877,14.3
0.26362,0.41555,1.9594,2.7389,0.6568,0.0093944,6.5812,13.37,27.725,0
0.2552,0.3008,1.9873,3.8054,0.74088,0.012912,4.5012,11.389,27.375,14.5
0.064233,0.20138,1.5261,5.0486,0.59701,0.00921,6.8914,9.3325,38.456,13.9
0.39525,0.79093,1.31,3.4664,0.68734,0.013487,4.2714,14.01,37.518,15.1
0.14017,0.60558,1.8752,3.8093,0.5943,0.0095679,6.8664,9.07,31.653,14.4
0.24917,0.68771,1.9335,2.9888,0.60978,0.014048,5.564,7.8479,22.558,14.6
0.06952,0.49783,1.4771,4.8369,0.57962,0.014498,7.8733,6.3033,24.579,14.9
0.27494,0.63102,1.501,4.407,0.69743,0.011492,7.339,5.7741,21.801,14.6
0.36848,0.71887,1.5027,3.2741,0.66697,0.011388,3.7624,9.6722,27.998,14.7
0.068598,0.62861,1.6522,2.6718,0.72684,0.014215,5.8486,6.0387,33.486,14.2
0.32627,0.22017,1.3427,5.1107,0.67865,0.014402,7.6255,7.6665,21.325,14.5
0.22407,0.74719,1.8793,2.5615,0.72085,0.014374,3.277,5.9335,27.514,14.4
0.29466,0.31701,1.202,4.5234,0.68599,0.013504,5.5877,11.722,36.527,14.6
0.078686,0.28338,1.9256,2.5798,0.68514,0.0095992,4.7737,6.8709,44.277,14.4
0.2739,0.44029,1.2687,3.7284,0.69106,0.014397,5.6357,9.0601,32.259,14.4
