chord,span,airfoil mass,total mass,X_theta,Ia,dhh,dah,daa,Vcr
0.1809,0.69049,1.1736,4.2017,0.73512,0.0143,4.1381,8.6194,29.059,11.7
0.15698,0.40238,1.087,3.528,0.65093,0.0092032,6.1755,5.6246,24.21,11.4
0.32387,0.53274,1.006,3.0376,0.63532,0.010025,3.3627,9.6374,29.24,12.4
0.37982,0.52252,1.8175,3.5544,0.56281,0.0090349,3.8211,8.6894,37.935,0
0.11377,0.36726,1.6449,3.0349,0.62439,0.010088,4.9283,13.987,42.174,12.2
0.20745,0.60527,1.2522,5.0233,0.68494,0.010449,3.5383,10.688,26.838,11.1
0.078466,0.29507,1.0495,4.216,0.71635,0.014652,4.3153,13.989,35.18,11.1
0.05576,0.40642,1.5337,4.0566,0.64935,0.014678,3.7141,14.778,40.824,0
0.18604,0.56974,1.3038,2.441,0.66431,0.014777,6.8096,14.506,28.319,11.6
0.2059,0.29025,1.3337,3.8343,0.67006,0.010123,3.5754,9.0155,40.765,13.6
0.124,0.50047,1.1263,4.7672,0.71333,0.01295,4.9378,9.9314,42.153,12
0.41202,0.49903,1.5292,4.9024,0.67572,0.01443,6.297,9.7266,25.474,16.2
0.29104,0.31056,1.1975,4.7593,0.58513,0.013519,5.1766,11.156,38.417,15.5
0.17131,0.22578,1.8355,3.2812,0.69227,0.01527,4.3605,15.009,40.839,13.1
0.36654,0.59397,1.5437,3.3333,0.72445,0.013167,6.8982,14.907,39.686,17.3
0.39117,0.49137,1.8738,3.1748,0.60106,0.01246,3.146,13.306,26.586,0
0.321,0.67632,1.6818,4.1256,0.60747,0.012342,7.6721,7.441,25.208,16.8
0.15899,0.66549,1.3314,3.9825,0.5968,0.0096122,4.5346,7.3388,42.71,13.8
0.42475,0.21913,1.5936,2.3048,0.64498,0.012651,7.1917,11.28,26.36,0
0.41188,0.66038,1.5627,4.8648,0.63362,0.011364,6.0843,5.899,29.367,18.9
0.12495,0.68632,1.7232,4.1973,0.7428,0.014747,5.7336,5.1854,22.347,13.2
